Rank,Player,Position,School,Class,Photo_Url,Pick,Slot Value,Adjusted Slot Bonus
77,Zion Rose,OF,Louisville,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fgocards.com%2Fimages%2F2025%2F2%2F12%2Fzion_rose_hs25.jpg&width=180&height=270&type=webp,77,"$1,060,300","$1,060,300"
78,Cole Koeninger,SS/RHP,Keller,H,https://www.ncsasports.org/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Frms-rmfiles-production%2Fclient_photos%2Fathlete_15134524_profile.jpg&w=384&q=75,78,"$1,043,700","$1,043,700"
79,Ricky Ojeda,LHP,UC Irvine,C,https://ucirvinesports.com/images/2024/11/26/Ricky_Ojeda.JPG,79,"$1,027,200","$1,027,200"
80,Blake Morningstar,RHP,Wake Forest,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fwakeforestsports.com%2Fimages%2F2025%2F1%2F28%2FBlake_Morningstar_Headshot_zVOfY.JPG&width=180&height=270&type=webp,80,"$1,010,600","$1,010,600"
81,Anthony Potestio,SS,UC San Diego,C,https://ucsdtritons.com/images/2025/2/9/Potestio_Anthony.jpg,81,"$993,900","$993,900"
82,Landon Thome,2B,Nazareth,H,https://cdn.d1baseball.com/uploads/2025/08/08041354/ACG25-LandonThomeHR.jpg,82,"$979,500","$1,000,000"
83,Eli Herst,RHP,Seattle Academy,H,https://baseballnorthwest.com/passets/photo/WA/1093856724-eli-herst-2024.jpg,83,"$964,800","$1,000,000"
84,Ethan Kleinschmidt,LHP,Oregon State,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F28%2F25BB_Headshot_KleinschmditEthan_00366.jpg&width=180&height=270&type=webp,84,"$950,100","$950,100"
85,Steven Milam,2B/SS,LSU,C,"https://www.theadvertiser.com/gcdn/authoring/images/smg/2024/06/07/USAT/73928734007-USATSI_23432217.jpeg?crop=1445,1925,x577,y0",85,"$935,300","$935,300"
86,Nathaneal Davis,OF,Trinity Prep,H,https://thetrinityvoice.com/wp-content/uploads/2023/04/Prince_AN-5.1-615x900.png,86,"$920,800","$1,000,000"
87,Noah Wilson,OF,Mccallie,H,"https://image.maxpreps.io/rosters/76954902-6d31-4d59-b6f4-dbdf36f35ff5/4/5/1/451b41d1-d15a-4072-94d9-3a00b9f28a31/original.jpg?version=638457731780779024&width=1024&crop=1:1,smart",87,"$907,200","$1,000,000"
88,Ryder Helfrick,C,Arkansas,C,https://arkansasrazorbacks.com/wp-content/uploads/2025/01/27-Ryder-Helfrick-BSB-2025-120738-1x1-1.jpg,88,"$893,000","$893,000"
89,Tre Broussard,OF,Houston,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fuhcougars.com%2Fimages%2F2024%2F8%2F23%2FBroussard_Tre.jpg&width=180&height=270&type=webp,89,"$879,000","$879,000"
90,Sean Dunlap,C,Crown Point,H,https://i0.wp.com/www.chicagotribune.com/wp-content/uploads/2025/04/PTB-L-BAS-DUNLAP-042025-01.jpg?fit=620%2C9999px&ssl=1,90,"$865,500","$1,000,000"
91,Caden Bogenpohl,OF,Missouri State,C,https://missouristatebears.com/images/2024/10/30/Caden_Bogenpohl_8118_AwTmW.jpg,91,"$851,800","$851,800"
92,Connor Comeau,SS,Anderson,H,https://s7d2.scene7.com/is/image/TWCNews/da_comeau_pic,92,"$839,100","$1,000,000"
93,Archer Horn,SS/RHP,St. Ignatius Prep,H,https://siwildcats.com/images/2025/3/23/BASEBALL__56_of_136_.jpg,93,"$826,400","$1,000,000"
94,Jorvorskie Lane Jr.,OF,OD Wyatt,H,"https://img.mlbstatic.com/opprops-images/image/upload/ar_1:1,g_auto,c_fill,w_1024/opprops/dvhpzinn3hicewtgupmt.jpg",94,"$813,600","$1,000,000"
95,Jet Berry,2B/OF,Queen Creek,H,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtrHTqhU0jpNPguDv-Ha-m3eCzi78zxqbuZw&s,95,"$803,900","$1,000,000"
96,Robert Omidi,SS,St. Martin,H,https://pbs.twimg.com/profile_images/1863604578433802240/eRovkw7f_400x400.jpg,96,"$796,000","$1,000,000"
97,Henry Ford,1B/OF,Tennessee,C,"https://img.mlbstatic.com/opprops-images/image/upload/ar_1:1,g_auto,c_fill,w_1024/opprops/yw4ha1ycytnrqtvyakgm.jpg",97,"$788,500","$788,500"
98,Trey Rangel,RHP,The Colony,H,https://09d1d85a2275582e9dad-7b3e649a230e2ba2cff912d8af17e0b5.ssl.cf1.rackcdn.com/7195570.jpeg,98,"$780,600","$1,000,000"
99,Sean Duncan,LHP,Terry Fox Secondary,H,https://pbs.twimg.com/profile_images/1666087766541893637/NxHecMN6_400x400.jpg,99,"$773,100","$1,000,000"
100,Cody Boshell,1B/OF,Bishop Snyder,H,https://image.maxpreps.io/careers/2/1/3/213d1929-faf7-4a1b-bbdd-a548dd5ef019/thumbnail.jpg?version=638907860942994194,100,"$765,400","$1,000,000"
101,Mason Edwards,LHP,Southern California,C,https://pbs.twimg.com/media/GsUgNXTbEAAW9yk?format=jpg&name=small,101,"$759,400","$759,400"
102,Louis Hernandez,3B,Lake Mary,H,https://members.baseballfactory.com/player/lh/b4b3c1f7c9cf4c4b9ac3f19307eadf19.jpg,102,"$752,000","$1,000,000"
103,Genson Veras,OF,TNXL Academy,H,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfiKt3O3lw9YlrPkHr-OEUP8_yaHTX4iWtbw&s,103,"$744,400","$1,000,000"
104,Wilson Andersen,RHP/SS,Jesuit,H,"https://img.mlbstatic.com/opprops-images/image/upload/ar_1:1,g_auto,c_fill,w_1024/opprops/elt1mx1rgbzgjyq6qs6k.jpg",104,"$737,000","$1,000,000"
105,Aidan Knaak,RHP,Clemson,C,https://clemsontigers.com/wp-content/uploads/2024/11/KnaakAidan.jpg,105,"$729,600","$729,600"
106,Kyle Jones,OF,Florida,C,https://pbs.twimg.com/media/GdCCSMsXQAAJCrZ?format=jpg&name=large,106,"$722,600","$722,600"
107,Drew Titsworth,RHP,Clemson,C,"https://clemsonwire.usatoday.com/gcdn/authoring/authoring-images/2025/04/21/SCLM/83203713007-usatsi-25964365.jpg?crop=2399,1350,x0,y208&width=1600&height=800&format=pjpg&auto=webp",107,"$715,400","$715,400"
108,Ryan Kucherak,SS,Northwestern,C,https://nusports.com/images/2025/1/13/17_Kucherak.jpeg,108,"$708,300","$708,300"
109,Peyton Bonds,OF,Rutgers,C,https://scarletknights.com/images/2025/2/11/25_Peyton_Bonds.png,109,"$701,300","$701,300"
110,Joseph Contreras,RHP,Blessed Trinity Catholic,H,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQLglh-GO2-HoTbLaBy5p-pPT4hKyrWtQ9Eg2suBCpSea8d52fFO0FlLPhdMJ1kT9ZsLBA&usqp=CAU,110,"$694,600","$1,000,000"
111,Cooper Harris,RHP,Flower Mound,H,https://bloximages.chicago2.vip.townnews.com/starlocalmedia.com/content/tncms/assets/v3/editorial/1/dc/1dc29f48-097a-11ef-98f8-339601694dae/66352b6c2a6ec.image.jpg?resize=400%2C400,111,"$687,800","$1,000,000"
112,Kollin Ritchie,3B/OF,Oklahoma State,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fokstate.com%2Fimages%2F2024%2F10%2F2%2FRitchie_Kollin.jpg&width=180&height=270&type=webp,112,"$680,800","$680,800"
113,Alex Philpott,RHP,South Carolina,C,https://floridagators.com/images/2025/1/6/Philpott_Alex.jpg,113,"$674,300","$674,300"
114,Jayden Parker,SS,University City,H,https://pbs.twimg.com/profile_images/1793835460063809537/_2Gz995E_400x400.jpg,114,"$667,700","$1,000,000"
115,Alex Harrington,SS,Cathedral Catholic,H,"https://img.mlbstatic.com/opprops-images/image/upload/ar_1:1,g_auto,c_fill,w_1024/opprops/wnzurrgx3gxkak40ojva.jpg",115,"$661,100","$1,000,000"
116,Wessley Roberson,OF,Glynn Academy,H,https://pbs.twimg.com/media/GdKSTXLXwAAFX86?format=jpg&name=large,116,"$654,700","$1,000,000"
117,Judah Ota,OF,Iolani,H,https://i.ytimg.com/vi/uPrvFAK1nGo/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLD0TtOohooX2ev3JkJW38dRZzxMqg,117,"$648,400","$1,000,000"
118,Josiah Kemp,OF,Westmoore,H,https://pbs.twimg.com/media/GrG6z5GWcAAq8k-.jpg,118,"$642,200","$1,000,000"
